"alpha","corr","n"
0.723254935128035,0.571420025983549,500
0.879884225759769,0.785553319064987,28
0.873240837435974,0.77502105014971,170
0.789288231148696,0.655610068107186,500
0.729298870143941,0.574860989318317,500
1,1,9
0.907255520504732,0.83025625571997,59
0.485281670271795,0.324955584286212,500
0.65611685940353,0.517489946400037,182
0.823031629074295,0.699281008228765,500
0.715509039010466,0.562400557583895,500
0.677260835749134,0.514237936740785,500
0.429009193054137,0.273304083305061,500
0.864748588330196,0.761806447007377,72
0.713859020310633,0.556267817318285,97
1,1,9
0.717383107088989,0.560663140713057,500
0.953626187564669,0.911694422426623,167
0.943908918406072,0.893778130385418,167
0.947136563876652,0.902437775912522,49
0.702040816326531,0.545660674465931,49
0.776758409785933,0.6381990126896,49
0.625954198473282,0.455555555555555,49
0.912801484230056,0.845645480724498,49
0.714784633294529,0.55777631008748,49
0.890538033395176,0.802675585284281,49
0.900316455696202,0.819745173983855,211
0.676982591876209,0.516811394121702,98
0.771552289725758,0.628280862437543,98
0.837425910245555,0.723471237299046,98
0.645558980106472,0.478381555793614,98
0.753684210526316,0.605615132443608,47
0.809946714031972,0.682500147701744,36
0.523529411764706,0.36124878369909,36
0.623471882640587,0.507007348677416,67
0.915912031047865,0.851709948319012,67
0.914965986394558,0.843761979377697,67
0.892035398230089,0.808859230222024,98
0.716786033255324,0.568612858012593,68
0.754854410683778,0.618763448407848,38
