society,latitude,longitude
Hausa,13,8
Shulh,30,-9
Khasi,26,92
Mataco,-24,-63
Ganda,1,32
Bemba,-11,31
Tikopia,-12,168
Central Thai,15,100
Wolof,15,-17
Ojibway,52,-94
Santal,24,87
Amhara,13,38
Pawnee,42,-100
Somali,8,48
Tiv,7,9
Highland Scots,56,-5
Aymara,-16,-69
Toradja,-2,121
Tzeltal,17,-92
Kurds,32,44
Bororo,-16,-55
Kogi,11,-74
Saramaka,4,-56
Ona,-54,-69
Guarani,-8,-35
Klamath,43,-122
Bahia Brazilians,-43,-47
Tarahumara,28,-107
Ifagao,17,121
Maasai,-2,36
Hopi,36,-111
Tlingit,58,-134
Blackfoot,51,-112
Sinhalese,7,80
Lau Fijians,-18,179
Iroquois,43,-77
Iban,2,112
Copper Inuit,79,-111
Azande,5,27
Dogon,15,-3
,7,-1
Libyan Bedouin,30,28
Saami,68,22
Trobrianders,-8,151
Yukut,36,-120
Garo,26,91
Korea,35,102
Aranda,-24,134
Tukano,0,-70
Taiwan Hokkien,35,-109
Kanuri,12,13
Kapauku,-4,136
Mbuti,2,28
Serbs,44,20
Yanoama,2,-65
Chuuk,7,152
Kuna,9,-78
,67.5,171
Andamans,12,93
Lozi,-15,23
